,act_id,label,start_time,end_time,duration,location,mode
0,1.0,dawn,0,114,114,"(46.5356, 6.60019)",driving
2,1.0,home,114,182,68,"(46.5356, 6.60019)",driving
3,2.0,work2,182,239,57,"(46.5355, 6.59967)",driving
4,8.0,leisure,239,246,7,"(46.5355, 6.59967)",driving
5,1.0,dusk,246,288,42,"(46.5356, 6.60019)",driving
