,count,mean,std,min,25%,50%,75%,max
basic_piecewise,100.0,0.18493898614000012,0.055514551617145295,0.087074673,0.15662551525,0.178664957,0.20532797775000003,0.5234627900000001
indexed_piecewise,100.0,0.12123255404999994,0.025732344216463216,0.055677247000000006,0.10632583875000001,0.12396706100000002,0.13795698925000002,0.17690733
interval_piecewise,100.0,0.20471553464,0.044519932430175393,0.086952811,0.178107509,0.20661312850000002,0.23408530975000003,0.324424166
milp_piecewise,100.0,0.5290881156921386,0.2189657202743471,0.19145727157592773,0.3443180322647095,0.5270615816116333,0.6760050654411316,1.0943272113800049
basic_stepwise,100.0,0.09208783381000002,0.02618514049716765,0.051612522,0.07851543675,0.09085265000000001,0.0992904855,0.250175541
indexed_stepwise,100.0,0.08745347933999997,0.014357768607378476,0.057424367000000004,0.07763571725,0.0900076715,0.09614116750000001,0.117911576
interval_stepwise,100.0,0.08760436830000001,0.013362969771694148,0.059399113,0.07860723525,0.0867062515,0.09703640625000001,0.12110206500000001
milp_stepwise,100.0,0.4959500646591187,0.15557786221378644,0.23070025444030762,0.37914323806762695,0.4792131185531616,0.5684694647789001,0.980069637298584
basic_none,100.0,0.05804570696000002,0.023957222480000352,0.036355395000000006,0.0479324465,0.05169427,0.060733562000000005,0.22854653000000003
indexed_none,100.0,0.05408726287000002,0.010303914355244337,0.039381977000000006,0.046198746250000006,0.050451623,0.06091290875,0.086727413
interval_none,100.0,0.05436499684000002,0.011218912537852184,0.036714139,0.046407613,0.050347003,0.062163651,0.092104763
milp_none,100.0,0.18303729772567748,0.04373169754494067,0.09494543075561523,0.1589919924736023,0.17316555976867676,0.1944919228553772,0.3435235023498535
