,act_id,label,start_time,end_time,duration,location,mode,travel_time,car_avail
0,1.0,dawn,0,9.721944444444444,9.721944444444444,"(46.6149, 6.50523)",driving,0.028055555555555556,1.0
1,5.0,errands_services (car),9.75,12.071111111111131,2.321111111111131,"(46.6142, 6.50723)",driving,0.30416666666666664,1.0
2,4.0,shopping (car),12.375277777777796,14.375277777777796,2.0,"(46.5032, 6.4116)",driving,0,1.0
3,2.0,work (car),14.375277777777796,18.79194444444446,4.416666666666666,"(46.5032, 6.4116)",driving,0.3080555555555555,1.0
4,1.0,dusk (t),19.100000000000005,24.0,4.899999999999995,"(46.6149, 6.50523)",transit,0,1.0
