,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
basic_piecewise,5544.927861271308,-3929.5363694693865,4923.470811044173,-3325.616535022199,3844.3398132294496,3319.310408352405,-3211.0928431739626,754.5071345477098,4672.4259652805395,-8185.4774691645025,3205.298274826003,-3130.737242014701,-1818.5381685409488,-5428.450661231693,-6227.372191402698,-4581.184360579805,2368.2372553336795,645.2813536095117,1171.205753780362,1475.6503116988858,2837.4496257644887,-7774.04880300651,-8131.4257020664545,-2119.892304328129,406.62029111976176,-470.39809860319735,-9300.753415011768,-4006.972757722489,286.41962332295594,9825.828150977726,-3982.243469908692,-1469.377438171896,-4380.561182163612,7146.59326575467,1193.9967861381701,4872.215824771665,5320.960529582309,-10537.101356920224,8329.115324792836,-3004.409046778655,9647.160036053887,4580.7654447805135,-393.49922546922915,428.62811135370004,7165.741628601144,949.6177142249899,3186.03980667233,-337.9905838919671,-545.8963753836339,8993.492077881758,-3865.831988475823,5954.021138632489,7822.764036823349,-3839.0179321437136,295.5281648096233,-9054.167065578844,-513.0233369550195,3449.565259644903,-27.4744449361252,3075.6949010498297,1696.922670480226,4707.504818005945,1165.2409924856427,-37.80861507846962,169.2704866567404,2672.126912156049,4195.527561680445,1640.150549093291,5521.167614338784,-10046.729352429405,5075.912980454051,-4257.151127456842,2002.7486206272108,8613.512544065738,1815.417899442649,-1609.7763774894527,4162.383202273492,7513.911267739421,4740.265263802166,-2840.205384610373,-4222.959429972457,-801.6680119103291,-5105.584430725911,-7720.833960822603,7013.212958607904,-3529.999894552735,4992.388475676922,-4589.955241723432,5699.5285740719355,5033.882944011777,-893.0377749345012,-4490.374380482358,-1740.8447957816522,-13168.181530406315,-1282.3265595900086,4790.832508071955,-3879.032664954414,7845.388015902616,243.1677501869644,5159.25705715146
indexed_piecewise,-617.1158278415674,-29.013598819527147,-595.2772275372513,-502.94646929454757,-279.56997268656534,-187.56692015858513,12.91039842180777,-222.87999149423266,-303.31852928613074,-313.93284138799004,161.424631789851,165.6145937504204,-439.8856898376006,-696.0049566815882,-236.8539182076595,-777.7658935315671,-465.4878716994215,-295.19867120394446,-235.2882876855024,57.28980059876761,-279.26213766556,-687.285442274367,-113.43561133309453,-648.9510895058384,-374.4509122973876,-199.7220221057808,-197.97193593350607,-694.0375581565792,-287.46931775904386,-309.1538559178679,-445.26910082370506,-309.4188183743245,51.84226345481994,-701.8687574978597,-184.04349459016947,57.455793784246964,-60.55419551107633,-824.5448545123763,-824.8668699070022,-402.90975486942625,-105.90286631233042,-288.23663671641697,-540.2639878149861,-491.1668127711831,-220.74908382467603,-188.01094166306888,281.343602275253,-479.65683783722,-657.3439558879265,-392.9283509196166,-123.89919747808068,-452.54541588425525,-72.9758418641168,-257.2716556925593,-151.89716549599643,-9.791484922033874,-544.7736436070088,-718.2956720883449,-145.02954482866312,-192.9782665599361,235.52487468822113,-31.943482351517048,-128.3771432580442,-520.6857383422731,-414.35698729680587,-157.96941646162716,-443.0740375525261,105.16421930888524,-11.107052875805323,-396.22966329390863,-328.2655242014579,357.60185329704933,460.65857974050544,89.7229012567825,102.8596170594709,-395.2136214684658,99.22593978965625,73.95404148371546,-347.1420728584338,-300.5934493016654,172.71923260467943,-396.7281446933516,8.460016923735296,-735.5616473592755,-85.26004079017187,-284.7197506160218,328.0472069611853,-71.23589155894439,-156.0202917143724,-398.5862472833181,-245.44089435879678,-95.8726950868913,-140.76615650141125,86.73910737189476,-505.0497770431331,-296.4217652027856,-105.07442978751988,-200.6658652715543,-555.2734991241216,-82.51387797030483
interval_piecewise,-207.54734804221965,62.8293653771139,-662.3148663482721,-26.776849654880266,-182.24793275674097,-232.70758013801935,-488.65524806710766,-874.0010811955,-406.9522631823306,-818.708462793765,-443.3162886310246,136.94386341239112,-565.8019703423516,-170.28043100619777,-911.051057687215,-680.7787251979388,-122.67369954494538,-498.78670773841213,-26.04458624886405,-583.6290575629132,193.19599039260103,-253.53067382368943,46.233723433713806,-63.09790783085561,-400.3573640175003,196.00943431337885,-256.62717444660984,-572.0669492176119,-129.45853212196036,89.1912160837723,-452.52220731091217,102.53495278037053,-229.71468338912072,-262.2920961252384,-146.5325892971866,-266.1837614945502,-1135.6717245918824,-134.90636568136955,-886.2225340748025,-604.1431337845559,-388.77543743904005,-736.6989915516654,-426.0155177436566,-766.5043783407716,-498.54805964947093,-36.14056729264297,190.72075341360204,-370.6989186060832,-37.784644990162235,-69.6017498310811,-8.042310443790143,-170.6719606688814,-232.36160661799056,-437.35249661038915,-418.08083164453217,-221.66088713665607,-455.80901870168486,-50.965562162156786,-349.61024259312023,-767.0261801243887,-295.32755808368466,56.4754017131317,81.77637158574362,-92.78006319508492,-99.92208858061728,231.24677759970467,621.5752025854088,240.85134339775715,-140.56881095828925,-548.8761292993504,-198.39964598212055,-39.27620848560193,-57.265658159580994,-364.9317478233777,-531.1210558407861,-358.251785903013,-924.1765061283239,-80.49095299305469,-377.64607466182247,-238.24097795343064,-298.537990694029,-733.6243563135686,-131.43810101786013,-337.09650002619156,-178.76078281492573,-180.39191184449243,-521.2679675476406,7.815555311601884,-312.3796501497384,-804.144662192955,-334.8430898898225,-368.12974715677615,-301.5432406543133,-841.8753575597087,-346.80658249378473,-70.01561324646505,-249.70000711789186,53.66023730767836,-380.71354046506787,-40.93331792185481
milp_piecewise,86.84980551875124,755.3926795989167,-103.30972207913011,-296.2635721236583,416.9122516236267,-376.4837432655553,-602.4099227509884,433.23599113371944,-548.1859298312206,72.24162176241464,-393.7146571520147,326.93243369519774,-339.0954123324691,305.99152855462296,54.203640110406624,-11.630212550631486,-641.7719536838689,292.739439251984,-192.22893102604627,372.4543411182183,-297.0911392368133,1138.1560923226589,529.5238034518716,-367.4318704003264,71.89406643718267,501.49920063398184,-344.1128634810771,601.2890938520616,133.08696766829613,880.2428457433161,-205.05461570104598,-23.93670151880495,-416.14469870419896,915.5654955633764,-225.80354593441282,-159.292864277782,-85.96653563050008,-158.26857829123182,330.6340183646125,-164.45248684531575,-213.21177693715015,-432.0705097314592,-161.42167016451674,271.1334683454085,46.496263954867175,365.8323255768175,-365.85656695900707,36.96486056902358,233.17110145745227,-277.3278557053774,416.888576595257,419.51067217727285,-767.4785258963539,451.83478810926044,-603.26703572889,201.73350300332106,19.9396386384538,-462.27902365182075,708.1737354663411,452.6657768025697,377.65793581591686,115.65196520564105,189.39262977348335,165.62622841635604,172.2244276954343,-381.94393649882693,149.44339479655548,221.73016664421894,-468.3997364637292,606.6262455169492,541.3075458135326,176.00181032883984,-134.26380419744387,600.5629986188329,67.60350187204892,261.50066728656014,33.97175921114314,-91.69438626815544,515.3623277791742,298.9810318989426,195.12590531935695,-260.756206065698,-6.434635887103656,-622.1168823840347,8.765602839164067,311.6674795204178,265.22275776953325,-269.5451393046784,242.87152868281598,-237.9794790122678,-394.5509750129056,89.5046994904432,216.4412154993233,971.690016725053,81.77772540760421,490.5289017993423,93.69665642132405,-191.96800272625632,469.78371729222056,-182.8478295157526
basic_stepwise,5756.723873084403,-1178.6008059970595,-3720.8951217144995,1947.6800950356408,1446.5974478226408,-9723.095693393312,6085.420198778747,-2228.699194923189,-1555.8187263641044,2808.857334952449,-24.116967105833567,-1044.882873448959,-170.75797277866633,6667.199564909576,-8325.04697760153,-1968.5242060249946,-3958.204544913136,3484.8893507574735,662.1527131358864,-3398.708546324855,464.81694607906934,3826.8010509927817,-6978.8298464930385,-9110.335854795629,-3110.469885703005,-4710.983551530414,6239.079464654697,12599.030389505064,7362.86221173686,7267.913045677416,1086.031929991746,-7219.242455460172,5784.419450294869,4484.280407935203,-648.4869692044361,7680.653076671139,324.5124349946393,5536.797472878692,302.36806516020005,-5745.55577179407,-4546.472712929781,784.1614469044785,-2606.5628403060336,5976.036132029921,-6884.288826921733,2618.206260557163,-5607.085679249572,-2443.6049792124736,-8082.641946404467,-3086.9179158669517,-4848.221201731732,6129.736732005526,-268.72783467891514,-4141.497139711944,-10407.947502546953,-3779.7687768706073,-3729.579400761386,-2008.496864004563,1413.487156972572,-1500.7965104168975,4414.813732664927,3616.6429619620853,2773.238417099276,3329.8901427340948,-8836.004369685785,2170.0176402155394,-3655.6895730025317,-2574.320367515731,-3616.5374490698177,2606.329590539386,-5747.635398471811,-7653.748286788719,-3681.994396366615,936.9777481055464,-6141.594028867826,-853.5987852600874,1324.6956123285713,7381.677335165638,8105.293494170221,-7927.875912910933,-5031.784515397275,727.6407731729778,-3657.7905435678517,503.83899598593575,-6039.7387606090515,-2133.6210712799375,3100.355682524538,377.8996999781464,9901.255781212132,-630.1605438696993,-1257.783083935455,-5374.491449996522,-5352.620859861782,6596.396930063098,-3014.1041297739384,1101.555111326908,-3726.198730713354,5825.256988491247,3980.229748664348,818.4742060063687
indexed_stepwise,-3772.0924049899963,8610.89147500572,-6054.188717784123,866.3600858413373,13168.241534767725,2399.5453891897655,4763.86830514677,3043.705054152722,6399.076225587479,1320.3216342131204,3294.9116844935797,-1279.1877199628125,4652.1214974161,-2427.731410835389,1373.5457341759893,5353.859475828991,5347.423109234468,-3659.179937188057,-3651.817588575848,-4829.428564830409,-2967.4717658133804,-2347.837201933276,2013.3639556848798,-8556.342525203456,-375.43304803106207,1970.7460095754002,649.1668299403124,-1043.9701140853997,2033.1092267338254,-11313.59148571477,4420.68718654236,2941.5002324407246,-36.86106667702099,-2043.143885446004,5529.947022636817,-7369.4766848025165,1041.5007472658667,524.1390760846268,360.8845694696481,3131.052130081989,2606.530539420493,-3235.508852151538,4124.959225228953,3661.0970391255482,4794.62747845307,-2449.539812919192,4410.164356091607,-8622.339134766824,-6877.94993154465,6339.522009233831,-7458.739459712165,-9669.883828606711,3134.5973354143202,6434.323429394901,3390.9969138507668,-2212.5346848635286,-6027.8674015965535,-848.6915689192376,760.6950146684131,-455.39037941474766,-1370.182644279471,3481.609339701366,4516.2916436248925,1462.4824517104505,-4038.8700926048577,2095.21257737228,-5757.977609660892,6858.92268522593,-1471.5905664877282,3771.354833628784,2277.5066067399175,-7115.6194541429,-2791.6423020023635,4550.170809636519,-1621.9197816189726,2369.5723696075124,-8691.973337545696,-4853.01439629994,1627.651518860776,-9536.868064470995,1086.5058272028098,5895.675575869912,8993.572532053828,1647.1602949073251,-3773.0902073539974,749.0686209329018,-2285.742677824495,-1945.7170985180674,2743.405514685497,13431.067653754762,9493.059744421413,-2819.4333129408587,2984.5799200522188,7540.158978440984,-1719.8601387284136,-824.3226791835227,-6620.081853547448,2222.0611251518926,-1105.333576342318,7379.4734336871215
interval_stepwise,-629.5816671134124,-4118.573314005497,-7812.912601192093,6587.08671329207,-9478.449388714793,-1995.7355068790841,5443.897671920674,-3750.018355927527,757.6961747096614,-1312.3733885405163,-1577.560103428077,850.1089881227697,519.6618482387165,-1355.5814735167594,-2462.0207075582007,-685.8077875863604,1131.2122806269467,2041.5886828965472,9871.189031686688,5134.818729583115,-8008.88121202257,-3036.683553237717,-4647.663577639907,11445.170475989387,-4928.584947276902,3157.4752906982867,1561.233315178212,5919.462586027158,2498.7401560982325,-4881.143957977907,-12871.177562512887,425.69725352234076,-677.7389324558341,-6612.64726742104,-918.5576383250217,-8748.333864574382,4162.017428185612,2158.443227863773,-878.5926690681375,-2306.824970519651,-959.5936649085177,-1365.9837149996479,-6248.8474730123835,9253.193165718638,-2554.2177779737003,1839.6339975271094,-4852.622468054389,-2068.181881121426,-5250.41280641192,1105.6095694155838,59.35896290463298,4870.176402554271,1716.9578899843207,462.5996595990991,1527.275780175459,-11259.904752157976,4538.404175464584,-5982.388946974344,-4013.051497076215,4848.056707276679,640.4520423197391,-3766.9790920582873,8494.765883008262,2190.629309030279,-4884.816373142661,3356.716204223444,-1699.4619622002401,-196.1819102944689,56.34819094952721,13130.428811592637,-683.6114836878373,4332.040792620639,6526.580257923145,431.8139069584172,916.8276026585542,-3295.8654009649513,647.1348668130946,-358.49968325970366,1727.5299204845487,1652.1432539539655,2869.4867146252673,5406.541591529172,535.0402168022907,-2857.2014960220304,-5444.4436787684435,4165.327415989654,880.9084428368868,-10669.499311072752,-3579.61310672944,-3.980212854270249,246.67202466955507,4055.041616752896,-9544.629247541678,-1192.8818659896774,-1181.9101602820533,-7206.05262605205,-589.5251371551557,-2882.520684299967,-2263.400947448708,-5249.805833721683
milp_stepwise,519.857465747406,-67.14457179063122,818.4362147593239,-65.07307778418732,189.3067938201249,-466.6459801296637,-350.0117999066439,-808.1923036394419,513.083532011522,-347.50804529377416,170.3039525333992,554.6766014783963,155.36433596465838,639.3845213676875,112.85329590031213,-388.57699234292124,426.32680199453915,36.91728073545994,-72.47825251672793,-226.9402752678342,265.57556046276693,-325.35418447077535,292.96930335810976,-186.18631653135796,138.05721375124298,-423.6514421441762,-40.947675459557274,206.69478031758723,-131.16596746481073,-359.71444750439707,792.5857025999226,474.4162549419653,204.33673740153571,739.1789394147049,-462.2619969965312,-144.0695270784443,-87.65877317773501,-375.16033358507644,-912.2952874632381,-296.4018042273433,-237.80523888474315,-269.7941911489036,591.0212064571879,-746.2933553520031,404.9769821826947,-685.5408139032262,-246.27269045404373,13.137427840493174,-655.861951690632,-724.5710131782765,217.70461254469146,-738.772441884273,140.60621248073684,699.8218153032342,413.34759922403526,753.7177249085283,11.873144391636966,-370.8111900923158,406.7414975295045,-221.7855103781788,-435.06985563580923,101.23641358957062,-78.33832750545292,424.8119497675171,312.29812589788185,-720.0958036139587,129.69190698289316,722.3756665920915,552.9373205884567,489.87326784760495,-39.29454712369918,-148.88707562304228,-219.16143408228453,-46.5419370698979,-72.53638820367664,23.514091464811937,-20.7352272514869,87.79722733034932,-96.83589888956742,-402.55369824273146,-271.1679867116394,-5.866609054473559,-577.2111040734005,-90.64051497164643,-352.3881127616308,-304.88479817030446,538.5765029205662,682.2478784794181,30.380126353841106,-358.5422332512966,11.664497369497665,690.2427823254009,119.82655255070313,19.651203467674108,-439.52527453883874,-100.58018544163227,97.44285400000956,191.75944206815225,-493.58469689957195,-398.0178448366752
basic_none,-282.9320405125084,-296.20903375664545,-304.79174465046253,-307.8841614338094,-310.320994329277,-311.5253651550704,-259.55534579492286,-306.6737465540219,-285.4630702367761,-275.94063480475137,-311.32847289183593,-326.6650288296113,-297.77446809147625,-314.03655348080014,-317.64654712518814,-309.2664303675905,-297.922393186279,-298.72541358719707,-313.53392520829095,-295.1684968061237,-293.125483562071,-319.7549267949646,-293.86597207441434,-297.4733651254343,-320.03710161773256,-294.46629017755714,-314.9007629826741,-295.24292033961774,-320.73155532915916,-285.4770247049013,-323.73311527139504,-269.7040556111998,-296.6882675419617,-314.31597296461615,-296.78203972484454,-311.6780896767925,-313.67445982243305,-297.4380323760165,-319.91672326766894,-276.0709849693194,-295.6285500014039,-299.34393082128446,-308.0376740945668,-303.5949114676373,-296.8624314150769,-321.9198924470464,-312.0245576179335,-303.90463825953844,-313.33039310808294,-314.0586146689005,-304.9112444000994,-293.4549168819704,-308.2160211519397,-302.8438524051197,-310.3025804543803,-302.29054786152074,-299.5050960598045,-303.0118061261151,-289.347763492194,-318.8840118361486,-283.1573104942786,-320.2191147622876,-302.50612317652116,-288.6175204114766,-291.3186018034285,-320.30169272319034,-320.1733882351802,-290.76555367914125,-302.7007445480633,-278.8029308445063,-308.36174034785563,-307.1946419953043,-312.33676127633254,-307.18217604546237,-297.21717446579106,-311.4659960477464,-284.2349016215274,-284.9244462177624,-288.6830078114065,-315.3204384564893,-321.7934530358662,-302.913580362398,-272.9471076492015,-243.78114115681052,-255.47654406821232,-316.5085860265685,-305.77900598554055,-319.329433574189,-306.3884960381595,-291.5546674018661,-316.59209591325254,-276.15653972505976,-321.70459193514466,-272.3540247691961,-327.9831896873914,-309.433102406424,-258.640418788241,-307.9083157048619,-297.9870153224137,-299.0025727136662
indexed_none,-319.30554293551774,-286.4086472031059,-312.97701014428725,-328.35491967014036,-262.2479964036111,-299.2125886311285,-253.00412397937563,-301.65406866769524,-300.5030028788035,-304.9862363847449,-300.60079157514446,-303.5456214003331,-319.49340196131624,-275.1307362227468,-297.4314736104435,-296.45944343442585,-318.5600124003536,-306.0222915128274,-320.5800406491026,-292.62977575496024,-305.07474968514157,-315.68917180597316,-306.10169111327156,-318.74645613219786,-284.5991962268752,-315.7323576565652,-306.41184678457506,-285.98020749641023,-285.9340784040055,-319.38865730935186,-297.9894651026058,-301.44971330328406,-316.70800041975264,-313.19388473742686,-282.118441191368,-317.7933710505965,-332.95828941126814,-298.38633804349263,-295.03342912884835,-310.4793477648473,-308.91158355120484,-277.06302215512915,-275.3238739166859,-296.4263299982715,-296.5981858034319,-305.1266766287045,-303.3665223369359,-286.8351962552667,-303.1629452755873,-314.57503986475285,-306.0601604505419,-299.99971520660574,-315.7449539019984,-292.47185817343893,-314.8710476354256,-304.6640115217174,-268.5249163162438,-303.64913447490346,-282.13919555686886,-286.66097959379084,-270.16990853758244,-286.9212408922767,-283.11398923476236,-317.052890583617,-302.1037325388161,-295.3615899579438,-280.57898335457145,-304.6035220216215,-306.7969837797542,-292.8498901107704,-260.4403128240529,-284.81520577132414,-292.96377484867355,-289.646276766624,-260.68224305846775,-298.5726867525295,-288.46457400309697,-260.5049532663098,-303.9987458897621,-259.25267969356736,-261.4861427074919,-264.5724018506259,-313.9725984239177,-280.0858660256699,-326.1701266696372,-290.8323212975282,-306.71219113098834,-293.6879574806729,-292.40502698914713,-322.52978233420805,-267.25647378075894,-290.64446048784345,-288.9237447909227,-294.1617426749612,-311.28690768795474,-304.6204865509793,-316.6254122596913,-314.83007720635425,-314.3255037961038,-293.26573584277156
