,count,mean,std,min,25%,50%,75%,max
basic_piecewise,100.0,7.003555205270001,5.275033739149722,0.9321549360000001,3.107756878,5.632660373,9.59223595375,31.979136839000002
indexed_piecewise,100.0,1.5593518796799999,0.5114769790685695,0.644506101,1.199328165,1.4437274640000002,1.7343741515000002,3.68989797
interval_piecewise,100.0,1.6912991740099994,0.4227645163370166,0.8600848720000001,1.41888580575,1.6250982440000001,1.84536402675,3.7587731590000004
milp_piecewise,100.0,4.882858769893646,12.546699356561726,0.25609803199768066,1.1079589128494263,2.280888080596924,4.517447233200073,121.29953122138977
basic_stepwise,100.0,0.5641357755800002,0.17133818301228795,0.30759176800000004,0.432693123,0.525755577,0.68231994875,1.167291373
indexed_stepwise,100.0,0.6086932882699999,0.24468143936801626,0.287566775,0.43838040750000007,0.564139856,0.6843974830000001,1.4790887970000002
interval_stepwise,100.0,0.57213749396,0.19566770153431168,0.286142238,0.42220433525,0.53218747,0.67380270575,1.266381307
milp_stepwise,100.0,2.522925202846527,1.3401305675951605,0.721184492111206,1.76213538646698,2.2887091636657715,3.0699343085289,11.370824813842773
basic_none,100.0,0.13657533338999997,0.04771680798661255,0.09994569900000001,0.11810324525000002,0.12985216700000002,0.1459903855,0.574802778
indexed_none,100.0,0.13097666265000002,0.017336580917553784,0.101766219,0.11794916200000001,0.1299478605,0.13930923775,0.18226534900000002
interval_none,100.0,0.13024798828000003,0.01664197773697775,0.10226777000000001,0.11753990875,0.127626123,0.13900695400000002,0.187544914
milp_none,100.0,1.1685465574264526,0.11962804196079321,0.8372161388397217,1.0994349718093872,1.1807178258895874,1.2426325678825378,1.57967209815979
