,count,mean,std,min,25%,50%,75%,max
basic_piecewise,100.0,5.867057768270001,3.962099005080204,1.040497688,3.0489797697500003,4.7608703395,7.65639096925,23.68437819
indexed_piecewise,100.0,1.5043423825399997,0.44541925863708487,0.71059941,1.1892226467500002,1.4321702895000001,1.7389210875,3.6837044210000003
interval_piecewise,100.0,1.7138519000899997,0.41894459833579756,0.9614770010000001,1.4017660772500002,1.636751174,1.9772962145000001,2.974019905
milp_piecewise,100.0,15.767997961044312,30.32793294950249,0.1438291072845459,1.0309800505638123,3.5749614238739014,12.874023139476776,161.769282579422
basic_stepwise,100.0,0.5663623254700002,0.19302614245725844,0.251175458,0.4307690585,0.5187746605000001,0.65169809525,1.1576182160000001
indexed_stepwise,100.0,0.5643656531400001,0.1880283988397061,0.259762835,0.44036707625,0.5271877870000001,0.63818597175,1.0959379420000002
interval_stepwise,100.0,0.56214825876,0.20310174461564257,0.30013752,0.41437249225,0.49449640100000003,0.64167421825,1.3294107030000002
milp_stepwise,100.0,7.084024975299835,9.326262932717968,0.988849401473999,2.4205583930015564,4.171216130256653,7.422613203525543,58.4392728805542
basic_none,100.0,0.13590612444000003,0.04800997532668608,0.09553963300000001,0.12005923525000001,0.129806426,0.14157107475000003,0.585620745
indexed_none,100.0,0.13054403003999993,0.016149338059275806,0.10295905600000001,0.11822390975000001,0.1277937285,0.141573525,0.18360321500000001
interval_none,100.0,0.13449312361,0.019830382715419814,0.100580716,0.11989791150000001,0.13001856300000003,0.1472563245,0.18718810200000002
milp_none,100.0,1.186873860359192,0.15161480108474587,0.8615062236785889,1.0716513395309448,1.1763907670974731,1.28879052400589,1.5658977031707764
