,act_id,label,start_time,end_time,duration,location,mode
0,1.0,dawn,0,117,117,"(46.6149, 6.50523)",driving
2,5.0,errands_services,117,138,21,"(46.6142, 6.50723)",driving
3,4.0,shopping,141,165,24,"(46.5032, 6.4116)",driving
4,9.0,escort,168,169,1,"(46.6131, 6.50688)",driving
5,2.0,work,172,224,52,"(46.5032, 6.4116)",driving
6,1.0,dusk,227,288,61,"(46.6149, 6.50523)",driving
