,act_id,label,start_time,end_time,duration,location,mode,travel_time,car_avail
0,1.0,dawn,0,8.0,8.0,"(46.6149, 6.50523)",driving,0.04055555555555555,1.0
1,8.0,leisure (car),8.040555555555555,9.040555555555555,1.0,"(46.6131, 6.50688)",driving,0.016666666666666666,1.0
2,5.0,errands_services (car),9.05722222222222,10.05722222222222,1.0,"(46.6142, 6.50723)",driving,0.30416666666666664,1.0
3,4.0,shopping (car),10.361388888888888,11.691944444444443,1.3305555555555562,"(46.5032, 6.4116)",driving,0.3080555555555556,1.0
4,1.0,dusk,12.0,24.0,12.0,"(46.6149, 6.50523)",driving,0,1.0
