,act_id,label,start_time,end_time,duration,location,mode
3,1,dusk @ 0 (walking),183,288,105,"(46.6131, 6.50688)",walking
7,0,dawn @ 0 (walking),0,183,183,"(46.6131, 6.50688)",walking
