,0,1
basic_piecewise,0.056093625,0.053532100000000006
indexed_piecewise,0.013162399,0.011863631000000001
interval_piecewise,0.011716868,0.012735786
milp_piecewise,0.4207329750061035,0.2861623764038086
basic_stepwise,0.022900797,0.021984059
indexed_stepwise,0.021465170000000002,0.021723705000000003
interval_stepwise,0.021447938,0.021346661000000003
milp_stepwise,0.16911673545837402,0.2858273983001709
basic_none,0.010513940000000001,0.010799849
indexed_none,0.010670846000000001,0.009753856
interval_none,0.009881848,0.009926139
milp_none,0.12954139709472656,0.12784743309020996
