,act_id,label,start_time,end_time,duration,location,mode
0,1.0,dawn,0,114,114,"(46.6149, 6.50523)",driving
5,4.0,shopping (car),117,172,55,"(46.5032, 6.4116)",driving
9,2.0,work (car),172,224,52,"(46.5032, 6.4116)",driving
10,1.0,dusk,227,288,61,"(46.6149, 6.50523)",driving
