,0,1
basic_piecewise,0.158641059,0.148083233
indexed_piecewise,0.017912960000000002,0.019552608000000003
interval_piecewise,0.027486038,0.028974568000000003
milp_piecewise,1.5267601013183594,1.1828281879425049
basic_stepwise,0.049750476,0.046991986
indexed_stepwise,0.050133492,0.048464600000000004
interval_stepwise,0.052777614,0.051771693
milp_stepwise,1.0848994255065918,0.47572803497314453
basic_none,0.021175949000000003,0.020301542000000002
indexed_none,0.020501459,0.020685418
interval_none,0.01973843,0.020053869000000002
milp_none,0.39749932289123535,0.3734323978424072
