,act_id,label,start_time,end_time,duration,location,mode
0,1,dusk,217,288,71,"(46.6131, 6.50688)",bicycling
1,2,escort,112,188,76,"(46.6131, 6.50688)",driving
2,3,home,196,214,18,"(46.6149, 6.50523)",walking
4,0,dawn,0,112,112,"(46.6131, 6.50688)",driving
