,act_id,label,start_time,end_time,duration,location,mode
3,1,dusk @ 0 (walking),188,288,100,"(46.6131, 6.50688)",walking
5,2,escort @ 0 (bicycling),112,188,76,"(46.6131, 6.50688)",bicycling
18,0,dawn @ 0 (transit),0,112,112,"(46.6131, 6.50688)",transit
