,act_id,label,start_time,end_time,duration,location,mode
3,1,dusk @ 0 (walking),188,288,100,"(46.6131, 6.50688)",walking
7,2,escort @ 0 (walking),112,188,76,"(46.6131, 6.50688)",walking
14,0,dawn @ 0 (transit),0,112,112,"(46.6131, 6.50688)",transit
