,act_id,label,start_time,end_time,duration,location,mode
3,1,dusk @ 0 (walking),173,288,115,"(46.6131, 6.50688)",walking
7,0,dawn @ 0 (walking),0,173,173,"(46.6131, 6.50688)",walking
