,act_id,label,start_time,end_time,duration,location,mode
0,1.0,dawn,0,125,125,"(46.5356, 6.60019)",driving
2,1.0,home,125,167,42,"(46.5356, 6.60019)",driving
3,2.0,work2,182,239,57,"(46.5355, 6.59967)",driving
4,8.0,leisure,167,182,15,"(46.5355, 6.59967)",driving
5,1.0,dusk,239,288,49,"(46.5356, 6.60019)",driving
